gene_model	FloralMeristem_SuppressedBract	G2_M	IM.OC	L1	L1atFloralMeristem	PhloemPrecursor	ProcambialMeristem_ProtoXylem_MetaXylem	ProtoPhloem_MetaPhloem_CompanionCell_PhloemParenchyma	SPM.base_SM.base	Unknown_lowFRiP	Unknown_Sclerenchyma	Unknown1	Unknown2	XylemParenchyma_PithParenchyma	locus_symbol	TF_Family
Zm00001eb000690	0.0416076317671848	-0.0415437332376576	-0.131815387803467	-0.200318416003822	0.110430407056083	-0.0122560417450383	0.12589874895722	0.174532839388814	0.161158276947193	-0.0238420826209228	0.241202895963018	-0.00330650144699956	-0.0105926515017647	0.0345544455132676	rld2	HD-ZIP
Zm00001eb005440	0.198544365014647	-0.0633383489056358	0.771119058633971	-0.0834185407693346	0.226336233916126	-0.0281875129928148	0.0618458774600923	0.0852261211387052	-0.312782993736358	-0.198023070494348	0.097868433977016	-0.373312206334219	-0.214756682542401	-0.361199203817512	hb102	HD-ZIP
Zm00001eb006700	0.37495226142969	0.069771998732215	-0.147262218222294	0.20685355303746	0.121179635378383	-0.132206837028093	0.186652264160146	0.362588590307446	0.581639344293732	-0.017154721039067	-0.113143136598752	-0.203864822478075	-0.00358568203371173	0.143287622038274	hb5	HD-ZIP
Zm00001eb006710	0.369291122012172	0.0599699256129076	-0.169530644268551	0.210308260497384	0.119569066056019	-0.13510173659765	0.192876616731974	0.372391178354573	0.60351476413998	-0.010345503995262	-0.0973652026483512	-0.214190287429114	-0.00984405287735285	0.150829890742211		HD-ZIP
Zm00001eb007950	-0.461819051117876	-0.137182915944868	-0.39152014280407	0.165635473251598	0.189196615353018	0.0965178849690534	0.321726050906794	0.336927134323393	0.208826292057153	-0.3718503061741	-0.0645600204210299	-0.347464987807273	-0.382138647698705	-0.27954563521932	gt1	HD-ZIP
Zm00001eb009550	0.0450894658990065	0.0238627020674383	1.14542041117063	0.0799989171759864	-0.265191346954855	0.155107281386991	0.321669557316781	0.0775883548747321	-0.0630459811416908	0.0772433850308475	0.229842625888887	0.087484463596723	0.28296094074807	-0.570047428686264	hb45	HD-ZIP
Zm00001eb015500	0.0572311060121121	0.82463291348944	1.26895836045027	0.0448405668448846	-0.275107238134369	0.187447003794267	0.581998782793715	0.368724226642734	0.0756917169882798	-0.0398284794604635	0.966201791549935	0.0724181130141152	-0.553962274017022	0.199616686379118	hb130	WOX
Zm00001eb023620	0.14498216700484	-0.401873040080396	-0.233096771491909	0.300701633777286	-0.10528428365185	-0.0125207260266954	0.0878665165211363	0.14303911915782	-0.542716122647982	-0.309714157385011	0.0740517490074322	0.0751614688181554	0.323143271551894	0.160282571209617	hb78	HD-ZIP
Zm00001eb024680	0.112943579097167	-0.17902630528441	0.416130466679782	0.20697239634558	0.0586275301541302	-0.120883883066211	-0.325298300232578	0.00973482128762944	-0.180086025885192	0.202089923726845	-0.278872726242887	-0.0923159887896356	-0.0784818407073533	-0.0962327091306671	ocl4	HD-ZIP
Zm00001eb025650	0.122673655153001	0.127204126457691	0.873495475199322	0.126177106077145	0.682809824119301	0.0287829006290296	-0.0243120660490576	2.50722424718099	-1.73336934376007	-0.382775180397471	0.141983546929793	0.0746224662708597	0.065978761812084	-0.139503314605036	hb121	HD-ZIP
Zm00001eb027860	0.00344090672401277	-0.0272910574113864	0.299031079050178	-0.461032163478056	-0.0390136603505713	-0.235378062930928	-0.421447055974945	-0.806704246737536	-1.8010800515311	0.0653112630161551	-0.505949997266287	-0.914925648154673	-0.109100379842961	-0.0445186667786448	hb127	HD-ZIP
Zm00001eb031660	0.120536394702975	-0.180950859894873	0.533660560752971	-0.05097410935675	-0.030891237126316	-0.252097409806774	-0.369228828542948	-0.231181416146254	-0.14335386258265	0.0089509306942289	-0.017643568342366	-0.136276425626135	-0.00420283948645687	-0.0070274424337096	uaz276	HD-ZIP
Zm00001eb031670	0.11567327572572	-0.213708140533226	0.0282183627434096	0.0749060343070115	0.154030378052429	-0.0826093064046446	-0.151048452820557	0.0168402572233374	0.179026036709528	0.0357703405059407	-0.151623079147381	0.363502872465934	-0.103829877471858	0.0981237131605745	hb119	HD-ZIP
Zm00001eb037670	-0.266322519623035	-0.221936124964845	-0.529319930051404	0.19519661054837	0.0353920784846439	-0.00457761011998338	-0.125732383083239	-0.156134227095148	0.42973878547471	-0.0616446348501394	-0.234513459164991	-0.040337364471759	-0.416789897114632	-0.128149694483066	hb129	HD-ZIP
Zm00001eb038450	-0.301161734826262	-0.0911666865171227	-1.4230972690728	0.0795488373814263	-0.0792978978895817	0.252300670167727	-0.00127907954375223	-0.114413152190958	0.0704606839702466	-0.0492795068356003	0.0860324250847692	0.0135410036882735	0.221440110058352	-0.0461670597468138	zhd3	ZF-HD
Zm00001eb038460	-0.303697357810276	-0.0913716099591069	-1.41200783335601	0.0801789082424916	-0.0749544720935559	0.246832736326289	-0.0192469759746984	-0.141441937569847	0.104708368684009	0.0223205304020807	0.107842801909243	0.0412804176771977	0.25996810278601	-0.0810862140646533		ZF-HD
Zm00001eb041290	-0.147448364488831	0.109831693277602	-0.34080482234057	-0.37942849334553	-0.258311248710051	-0.030254594400316	-0.0031308498417696	-0.136518026416062	-0.182874214992547	-0.0292808778869501	0.0899731205506171	-0.149787132157717	-0.129376956333928	0.00623328337639764	zhd5	ZF-HD
Zm00001eb042400	0.121177967307911	0.0544042613632085	0.356829338886731	0.0260495176688613	0.273183761035944	0.170791477943882	0.366622949520681	0.209997169435414	0.333849726470579	-0.12857803744233	0.44816973922554	0.151457765016938	-0.0108264814968234	0.0955338835083559	hb112	HD-ZIP
Zm00001eb045630	0.0656865371696557	-0.131609356909199	-0.0132603899711257	-0.278737974479547	0.0517087703204165	0.0239887486367082	-0.0194411483011438	0.0363095193101166	-0.0545824238908352	0.0131105552888483	-0.138235589566835	-0.0962672546699936	-0.137027465325919	-0.0268619806515783	hb69	HD-ZIP
Zm00001eb048440	-0.115717614507938	0.123018731545275	0.139710853496415	0.163286291811484	0.284377380141168	0.290028606468787	0.342917348056714	0.138678639083013	0.282848450409424	0.068974150788673	0.06318138789354	0.196100749963089	-0.0154025844593599	0.203839664010888	hb49	HD-ZIP
Zm00001eb050660	0.246597778947005	0.10731615425423	0.480947841016793	-0.0605066349261801	0.0559861900309317	0.162430749065872	0.29784989509871	0.201535695276993	0.102732102600054	-0.0496449174118871	-0.0591054021017966	-0.026025792789025	0.080879326874047	-0.0952234969904812	hb124	HB-other
Zm00001eb055340	-0.451603628510274	-0.257280130288771	0.599220721210817	0.622171662175924	-0.769443702544579	-0.432631559293582	-0.292050066675893	-0.866472556736679	0.0838670753458858	0.0367878428643574	-0.0578857956799056	-0.563742694947457	-0.609444495767713	0.524480130495848		ZF-HD
Zm00001eb055350	-0.504421555554134	-0.33531030680811	0.662751826511752	0.730521384497283	-0.742617687745721	-0.532453562630811	-0.243676649222994	-1.22239242133645	0.0223234394785579	-0.031129897444171	-0.0503162757699547	-0.586391619253956	-0.651653556808105	0.590588737199705	zhd8	ZF-HD
Zm00001eb061430	0.0927739886340802	0.116340073331356	-0.0588527107543457	0.0648096507325736	-0.104341137459924	0.0349105480127916	0.0798297182085632	0.355222154969631	0.147320338399847	-0.277914828703807	-0.0262032776217806	-0.22649743433094	-0.139965818039727	-0.14839428133358	hb65	HB-other
Zm00001eb065260	0	Inf	1.59400764032416	-1.01611966536328	Inf	-0.633872101202102	6.28540221886225	0.584962500721156	1.05614307803753	Inf	1.22239242133645	-7.00562454919388	0.0780025120012732	-1.19841355840201	cl64927_1a	HB-other
Zm00001eb067310	0.847758700488052	1.20401389202159	0.549140980032969	1.10598339655156	1.14030085475564	0.720563987226717	0.55489459959058	0.90631935625215	0.834023228456679	1.23477142317756	1.26671525178575	1.19400475381115	1.14415975529248	1.07958199100236	hb67	WOX
Zm00001eb070050	-0.307485325327726	0.0643798012085151	-0.823613408400881	0.0695169131564947	0.040718658184221	-0.110553974184832	-0.657384526990937	-0.303441118000828	0.306661338234052	-0.208324289773075	-0.476597473343657	0.235447026439163	-0.613809120952418	0.478192667824721	hb75	HD-ZIP
Zm00001eb074830	-0.0200090796923195	0.409277886818129	0.0635948516476246	0.0925176508799494	0.297091020417555	-0.0302752238741536	0.18462893708588	-0.0144283823282632	-0.17465183239025	0.26207228839841	0.234343502082802	0.453874529693149	0.355177848776384	-0.175960452011641	hb53	HD-ZIP
Zm00001eb075230	-0.557436497834345	0.152314086125903	1.17773764364387	-0.0617733771815628	0.0438958536796618	0.0698752206603499	-0.103109221017751	-0.114591470163819	-0.149012398382799	-0.119604228350394	0.504655505151736	-0.101816724087168	-0.247676419687777	0.257172359934952	hb66	HD-ZIP
Zm00001eb082590	-0.127145415761053	0.044798403076696	-0.478570725481652	-0.338909644238716	-0.170853745796837	0.065477980561094	0.00656354305133766	-0.20693994306421	0.158752835689319	-0.0474080579430457	0.102821425387609	0.0767183162554464	0.200350622618715	0.0479051017510843	zhd15	ZF-HD
Zm00001eb087200	6.14974711950468	-1.07800251200127	-2.14295795384204	1.58496250072116	-7.01122725542325	-1.71926359243275	0.641546029087523	0.584962500721156	7.03342300153745	0.804079790024743	0.222392421336448	-1.07488721163099	-5.18322182405577	-3.8073549220576		HD-ZIP
Zm00001eb087210	-6.74819284958946	1.72935241005633	3.58496250072116	-1.30485458152842	-7.93663793900257	0.699421225306071	-0.387023123109247	0.584962500721156	1.05614307803753	Inf	-1.73180388905043	-0.263034405833794	0.753839412730603	-4.68650052718322		HD-ZIP
Zm00001eb087220	-0.219701662009563	-0.603972793507697	-0.368365101034314	-0.116389779261796	-1.24145732729534	-0.51405412441945	-0.822436796108581	-0.504931959768283	-0.700692030186523	0.477109783509478	-0.382353303478253	-0.0944432042997618	-0.125899339509151	0.54106463603969	hb96	HD-ZIP
Zm00001eb087250	0.0221293841995226	-0.230391050430461	0.31861702977835	0.0403764710904844	0.150332422791034	-0.0671746900213187	-0.343844090781027	0.311007527377265	-0.684591858809971	0.378400308486429	-0.0575017177505559	0.633687077608026	-0.0860049626768881	0.0312839297991115	hb57	HD-ZIP
Zm00001eb092480	-0.653014882300214	-2.24930742272228	-0.242834218950455	0.0587364385175919	0.158134768344189	-0.303392143449935	0.126468001337912	-0.276861547159295	0.206014028095159	-0.537064059952174	-0.634237558539762	-0.912962820405859	-0.286066596051465	0.934112064343543	ns1	WOX
Zm00001eb097990	0.0284301374499985	0.118298709914881	-0.0882362193686241	0.0358146632717958	0.0306496524445848	-0.107249692540501	-0.175665052172666	0.201697301632804	-0.484789101426234	-0.0963876110614105	-0.103316288933208	-0.0898058098177388	-0.256158664537869	-0.300913047201918	hb131	HB-other
Zm00001eb098960	-0.28603032094516	-0.205094833528047	-0.217456154933666	0.447690716597595	0.0553841394645998	-0.174045789846234	-0.862052956738178	-0.253832368308276	-0.638919538755778	-0.111964534736696	-0.00708639672297737	-0.244406505632138	-0.0400774393753352	-0.192213068644097	hb34	HD-ZIP
Zm00001eb099540	-0.521707571796551	0.157972500287617	-0.193996104135784	0.0358604563903	0.104714348597615	-0.00117503820402532	-0.254397869222288	-0.51548431916453	-0.360911895674681	-0.285596736299081	-0.239808286521198	-0.402477317919414	-0.171696439751094	-0.0958458451259929		ZF-HD
Zm00001eb099550	-0.521707571796551	0.148109691743605	-0.193996104135784	0.0438408123151506	0.106533712882058	-0.00487425828433535	-0.254397869222288	-0.51548431916453	-0.360911895674681	-0.281072128845125	-0.245432023679641	-0.402477317919414	-0.1620194448604	-0.0958458451259929	zhd20	ZF-HD
Zm00001eb100690	0.0843776661705012	0.175132333308704	-0.234417586713857	0.3268856408438	0.300994921867813	-0.0129938974782034	-0.144632173471375	-0.34364706452548	-0.0665563506222904	-0.173383044902556	-0.0040902321314987	0.0204004394823078	0.643150082390914	-0.965670673871362	hb59	HD-ZIP
Zm00001eb101130	0.317249181008418	0.41092756235477	-0.227035713398103	0.144406926763631	0.0943754817354737	0.117736263116932	0.0224750327558188	-0.331673614401395	-0.625890396850209	0.237565130154699	-0.0228796487231356	0.143363187837763	0.359711195486133	0.72474921935174	zhd16	ZF-HD
Zm00001eb101280	0.105021725574734	0.148524249273869	0.191342019082568	0.213740931717282	0.271892734222513	0.0148538598064938	0.252769772669022	0.18505602036296	0.15923202540377	0.383430135632316	0.416691414886038	0.225882543630628	0.169214622074806	0.074884110970206	hb54	HD-ZIP
Zm00001eb103330	0.219388319746031	0.060181537374982	0.416750614815248	0.220688115124199	-0.513091600096085	0.366758981746808	0.267933205246633	0.968791080938077	-0.01878679607063	0.0916798386651378	0.586493536671796	0.352629134077112	0.387881910539305	-0.0332396446157994	hb126	HD-ZIP
Zm00001eb107800	0.632774383139142	-0.276303006989305	0.040737014787596	0.269193731696899	0.0877372598955433	0.0206797939561867	0.142673389251708	0.525951285290521	0.506047570498299	-0.773303942807845	-0.18819296283082	-0.136080326395801	-0.732570480208296	0.1640509103247	hb107	HD-ZIP
Zm00001eb114460	-0.39821988121857	Inf	8.34872815423108	-4.39231742277876	-0.506959988719883	0.540154705362481	1.6959938131099	-5.14295795384204	-0.824557993590122	-0.279574081983725	-1.16992500144231	1.36069766505194	0.0780025120012732	0.648527629498623	hb93	HB-other
Zm00001eb114470	5.35755200461808	0.533432200081074	-2.14295795384204	-0.501546492533519	-1.16600995143893	-0.619727918881833	0.667424660913129	1.30284735332166	-0.299560281858908	-0.439421657905803	0.498453507466481	1.23815973719476	-5.75488750216347	0.558490289359965		HB-other
Zm00001eb114480	-0.202998920303495	0.0690416444296514	-0.375373281705328	-0.283178859829851	0.232376188549228	-0.0925054714833854	0.100904671003843	-0.292900540761526	-0.0900934662209531	0.312582270940602	-0.279263974072182	-0.0604215632137267	0.0400156788478791	0.237309871793367	prh123	HB-other
Zm00001eb114490	-0.46458315476243	0.76155465414101	0.276911990159978	-0.394366705851864	-0.119507094456089	0.230996486724766	0.737262109436162	0.146439192408279	0.30184932978127	-0.165782768785327	0.919405890102546	-0.198941075302482	-0.0428858128531765	-0.163017111500276	FJ184378	HB-other
